name
AGEGE
AJEROMI/IFELODUN
ALIMOSHO
AMUWO-ODOFIN
APAPA
BADAGRY
EPE
ETI-OSA
IBEJU-LEKKI
IFAKO/IJAYE
IKEJA
IKORODU
KOSOFE
LAGOS ISLAND
LAGOS MAINLAND
MUSHIN
OJO
OSHODI/ISOLO
SOMOLU
SURULERE
ABA NORTH
ABA SOUTH
AROCHUKWU
BENDE
IKWUANO
ISIALA NGWA NORTH
ISIALA NGWA SOUTH
ISUIKWUATO
UMU-NNEOCHI
OBIO NGWA
OHAFIA
OSISIOMA NGWA
UGWUNAGBO
UKWA EAST
UKWA WEST
UMUAHIA NORTH
UMUAHIA SOUTH
DEMSA
FUFORE
GANYE
GIREI
GOMBI
GUYUK
HONG
JADA
YOLA NORTH
LAMURDE
MADAGALI
MAIHA
MAYO-BELWA
MICHIKA
MUBI NORTH
MUBI SOUTH
NUMAN
SHELLENG
SONG
TOUNGO
YOLA SOUTH
ABAK
EASTERN OBOLO
EKET
NSIT ATAI
ESSIEN UDIM
ETIM EKPO
ETINAN
IBENO
IBESIKPO ASUTAN
IBIONO IBOM
IKA
IKONO
IKOT ABASI
IKOT EKPENE
INI
ITU
MBO
MKPAT ENIN
NSIT IBOM
NSIT UBIUM
OBAT AKARA
OKOBO
ONNA
ORON
ORUK ANAM
UDUNG UKO
UKANAFUN
ESIT EKET
URUAN
URUE OFFONG/ORUK
UYO
AGUATA
ANAMBRA EAST
ANAMBRA WEST
AWKA NORTH
AWKA SOUTH
AYAMELUM
DUNUKOFIA
EKWUSIGWO
IDEMILI NORTH
IDEMILI SOUTH
IHIALA
NJIKOKA
NNEWI NORTH
NNEWI SOUTH
OGBARU
ONITSHA NORTH
ONITSHA SOUTH
ORUMBA NORTH
ORUMBA SOUTH
OYI
ANIOCHA
ALKALERI
BAUCHI
BOGORO
DAMBAN
DARAZO
DASS
GAMAWA
GANJUWA
GIADE
ITAS/GADAU
JAMA`ARE
KATAGUM
KIRFI
MISAU
NINGI
SHIRA
TAFAWA BALEWA
TORO
WARJI
ZAKI
BRASS
EKEREMOR
KOLOKUMA/OPOKUMA
NEMBE
OGBIA
SAGBAMA
SOUTHERN IJAW
YENAGOA
ADO
AGATU
APA
BURUKU
GBOKO
GUMA
GWER EAST
GWER WEST
KATSINA ALA
KONSHISHA
KWANDE
LOGO
MAKURDI
OBI
OGBADIBO
OHIMINI
OJU
OKPOKWU
OTUKPO
TARKA
UKUM
USHONGO
VANDEIKYA
ABADAN
ASKIRA UBA
BAMA
BAYO
BIU
CHIBOK
DAMBOA
DIKWA
GUBIO
GUZAMALA
GWOZA
HAWUL
JERE
KAGA
KALA BALGE
KONDUGA
KUKAWA
KKWAYA KUSAR
